playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
atunrmo01w,9,0,SAS,32,0,G-F,70.0,143,1,1986,[],WE,1,1,100,100,010,24,10,15,2,9,8,10,10,6850,135722,4.0,5.0,8.776834133233683,37.749893662271376,34.48275862068966,29
augusse01w,7,0,MIN,113,0,F,72.0,179,1,1984,['Rookie of the Year'],WE,7,0,001,001,001,10,24,8,9,2,15,6,14,6825,109522,0.0,0.0,26.072010916187875,53.710655501010685,48.064516129032256,39
augusse01w,8,0,MIN,99,0,F,72.0,179,1,1984,[],WE,6,0,001,001,001,10,24,7,10,3,14,8,14,6875,121019,0.0,0.0,31.878751287411827,58.33535623255249,53.00171526586621,62
augusse01w,9,0,MIN,92,0,F,72.0,179,1,1984,[],WE,7,0,001,001,001,16,18,9,8,7,10,8,12,6900,118463,0.0,0.0,24.09472662766239,53.9312308366185,48.99193548387097,44
augusse01w,10,0,MIN,21,0,F,72.0,179,1,1984,[],WE,5,0,001,001,001,14,20,9,8,5,12,7,13,6875,128127,0.0,0.0,31.251018418126904,66.14867702645948,62.2093023255814,15
aycocan01w,1,2,MIN,3,0,G-F,74.0,172,1,1973,[],WE,6,0,001,001,001,15,17,8,8,7,9,5,16,6425,116638,0.0,0.0,0.0,0.0,0.0,0
aycocan01w,1,1,SEA,1,0,G-F,74.0,172,1,1973,[],WE,8,0,001,001,001,6,26,4,12,2,14,4,17,6475,142594,0.0,0.0,0.0,0.0,0.0,0
azizle01w,4,0,IND,7,0,F,75.0,177,1,1979,[],EA,5,0,001,001,001,16,18,11,6,5,12,12,12,6875,141778,0.0,0.0,10.331480774119523,31.725888324873097,28.57142857142857,4
azzije01w,1,0,UTA,36,0,G,68.0,143,1,1968,[],WE,5,0,001,001,001,18,14,12,4,6,10,13,8,6400,103442,0.0,0.0,11.350596275330828,58.574682720468594,50.0,17
azzije01w,2,0,UTA,88,1,G,68.0,143,1,1968,[],WE,3,1,010,001,001,19,13,9,7,10,6,11,10,6475,110507,0.0,2.0,9.241590051334011,60.99717114568599,51.08695652173913,32
azzije01w,3,0,UTA,54,0,G,68.0,143,1,1968,[],WE,3,1,100,010,001,20,12,12,4,8,8,12,9,6450,118720,2.0,3.0,10.973703145254973,62.76665572694454,56.313131313131315,41
azzije01w,4,0,SAS,81,2,G,68.0,143,1,1968,[],WE,6,0,001,001,001,12,22,9,8,3,14,10,14,6825,176526,0.0,0.0,9.882895335015878,54.257095158597664,49.5260663507109,36
badertr01w,1,0,CLE,9,0,G,64.0,125,1,1973,[],EA,2,1,100,010,001,17,15,13,3,4,12,13,8,6500,137532,3.0,3.0,10.007356552850736,46.40600315955766,43.75,18
badertr01w,2,0,CLE,10,0,G,64.0,125,1,1973,[],EA,1,1,010,001,001,22,10,14,2,8,8,15,6,6425,147373,1.0,2.0,9.094413709873237,52.5,52.5,5
badertr01w,3,0,CLE,6,0,G,64.0,125,1,1973,[],EA,7,0,001,001,001,10,22,4,12,6,10,7,14,6550,149084,0.0,0.0,1.600701072245697,24.441340782122907,17.307692307692307,7
bakersh01w,7,0,NYL,33,0,G,68.0,125,1,1982,[],EA,5,0,001,001,001,11,23,7,10,4,13,7,13,6875,155048,0.0,0.0,15.93873804303835,45.53040197358874,40.438247011952186,48
bakersh01w,8,2,LAS,52,1,G,68.0,125,1,1982,[],WE,7,0,001,001,001,10,24,5,12,5,12,6,16,6900,147810,0.0,0.0,14.196073541892911,44.330887491264846,34.63541666666667,38
bakersh01w,8,1,NYL,1,0,G,68.0,125,1,1982,[],EA,4,1,010,001,001,16,18,10,7,6,11,10,10,6850,147866,1.0,2.0,14.196073541892911,125.0,125.0,0
bakersh01w,9,0,IND,15,0,G,68.0,125,1,1982,[],EA,4,1,010,001,001,17,17,11,6,6,11,12,8,6950,130941,1.0,2.0,18.025623310357823,47.151655119322555,32.432432432432435,10
bakersh01w,10,0,DET,0,0,G,68.0,125,1,1982,[],EA,3,1,100,010,001,18,16,11,6,7,10,11,11,6975,136069,3.0,2.0,30.761273393256854,81.0185185185185,66.66666666666666,1
balesal01w,8,0,IND,33,0,C,79.0,218,1,1985,[],EA,2,1,100,010,001,21,13,12,5,9,8,12,8,6875,133915,3.0,3.0,23.08916128806343,60.41300527240773,57.14285714285714,17
balesal01w,9,2,ATL,82,0,C,79.0,218,1,1985,[],EA,7,0,001,001,001,4,30,1,16,3,14,2,18,6825,141379,0.0,0.0,16.748068425658378,46.78229119123688,41.21621621621622,44
balesal01w,9,1,IND,15,0,C,79.0,218,1,1985,[],EA,4,1,010,001,001,17,17,11,6,6,11,12,8,6950,130941,1.0,2.0,16.748068425658378,46.2962962962963,41.66666666666667,19
banchrh01w,1,0,SAC,1,0,C,75.0,185,1,1973,[],WE,3,1,010,001,001,21,11,13,3,8,8,13,8,6400,126841,0.0,2.0,7.995113018530388,34.24657534246575,28.57142857142857,0
baranel01w,2,0,MIA,151,2,F,77.0,182,1,1972,[],EA,3,1,010,001,001,20,12,10,6,10,6,14,7,6575,141717,1.0,2.0,21.284144338381367,52.319787398959136,47.27272727272727,90
baranel01w,4,0,NYL,136,0,F,77.0,182,1,1972,[],EA,6,0,001,001,001,16,18,11,6,5,12,11,13,6850,212346,0.0,0.0,19.65690474524018,51.02790014684289,48.054474708171206,79
baranel01w,5,0,NYL,213,0,F,77.0,182,1,1972,[],EA,2,1,100,010,001,18,16,11,6,7,10,10,10,6900,168062,2.0,3.0,22.08574455277384,58.228895720028376,54.761904761904766,95
baranel01w,6,0,NYL,188,1,F,77.0,182,1,1972,[],EA,3,1,010,001,001,18,16,10,7,8,9,9,11,6925,172381,0.0,2.0,19.816978700058574,55.342044581091464,51.059322033898304,71
barksla01w,2,0,POR,5,0,G,70.0,156,1,1979,[],WE,7,0,001,001,001,11,21,6,10,5,11,5,16,6525,137656,0.0,0.0,2.6013938373344723,10.0,10.0,2
barksla01w,3,0,POR,22,0,G,70.0,156,1,1979,[],WE,5,0,001,001,001,16,16,9,7,7,9,8,13,6475,128656,0.0,0.0,15.115867002791587,44.46816079686944,38.11881188118812,15
barksla01w,4,0,SAS,25,0,G,70.0,156,1,1979,[],WE,6,0,001,001,001,12,22,9,8,3,14,10,14,6825,176526,0.0,0.0,13.405994118469325,36.93039559339009,36.075949367088604,4
barnead01w,1,0,CLE,0,0,F,71.0,165,1,1977,[],EA,2,1,100,010,001,17,15,13,3,4,12,13,8,6500,137532,3.0,3.0,18.86040795360584,59.171597633136095,60.0,0
barnead01w,2,0,CLE,1,0,F,71.0,165,1,1977,[],EA,1,1,010,001,001,22,10,14,2,8,8,15,6,6425,147373,1.0,2.0,44.65336242450961,100.0,100.0,0
barnead01w,3,0,SEA,57,1,F,71.0,165,1,1977,[],WE,4,1,010,001,001,17,15,10,6,7,9,10,11,6450,111774,0.0,2.0,13.399532326420415,36.36069812540401,33.78378378378378,41
barnead01w,4,0,SEA,39,1,F,71.0,165,1,1977,[],WE,5,0,001,001,001,18,16,13,4,5,12,11,13,6850,120857,0.0,0.0,13.494784471264751,47.19004719004719,45.23809523809524,18
barnead01w,5,0,SEA,30,0,F,71.0,165,1,1977,[],WE,2,1,100,100,100,20,14,13,4,7,10,13,9,6825,134291,6.0,2.0,10.820888061373683,40.537270087124874,32.608695652173914,25
barnequ01w,1,0,SEA,57,2,C,77.0,185,1,1976,[],WE,8,0,001,001,001,6,26,4,12,2,14,4,17,6475,142594,0.0,0.0,12.457024931619204,43.974078437973404,42.01877934272301,52
barnequ01w,2,0,SEA,20,0,C,77.0,185,1,1976,[],WE,8,0,001,001,001,10,22,5,11,5,11,6,15,6550,95257,0.0,0.0,15.192311800586888,47.96839729119639,39.83050847457627,15
barnequ01w,3,0,PHO,1,0,C,77.0,185,1,1976,[],WE,7,0,001,001,001,11,21,10,6,1,15,7,14,6400,139798,0.0,0.0,0.0,17.123287671232877,0.0,3
batkosu01w,6,0,SEA,68,1,C,76.0,203,0,1980,[],WE,2,1,010,001,001,20,14,14,3,6,11,13,9,6825,151150,1.0,2.0,24.139392911432314,49.86968724939855,44.252873563218394,41
